block,model,expr,depth,nodes,gates,n_parameters,parameters,train_chi2,valid_chi2,all_chi2,train_wmse,valid_wmse,AIC_train,BIC_train,search_score,DeltaScore_from_best,DeltaAIC_from_best
Rac1 perturbation; Cdc42 response,Hill_expr,(H(R)+H(R)),1,5,2,9,k=0.091571403; c1=-13.978532; A1=-66.549157; K1=0.90388139; h1=30; c2=17.807324; A2=349.36957; K2=100; h2=0.33856601,9.517382345968606,7.803880588925686,17.32126293489429,0.1045866191864682,0.26012935296418954,-187.45430898554145,-164.85657342688978,0.26012935296418954,0.0,0.0
Rac1 perturbation; Cdc42 response,Hill_expr,(H(R)+R),1,4,1,5,k=0.062580907; c1=38.135913; A1=-36.87774; K1=0.83031757; h1=30,292.66027594761033,71.40057993931798,364.0608558869284,3.2160469884352785,2.3800193313105993,116.30191954580818,128.85621707839243,2.3800193313105993,2.11988997834641,303.7562285313496
Rac1 perturbation; Cdc42 response,Hill_expr,H(R),1,2,1,5,k=0.054823369; c1=38.384744; A1=-34.948923; K1=0.7874034; h1=30,298.4820481845343,73.12361920486576,371.6056673894001,3.2800225075223546,2.437453973495525,118.09437588240263,130.6486734149869,2.437453973495525,2.1773246205313357,305.5486848679441
Rac1 perturbation; Cdc42 response,simple_hill,H(R),1,2,1,5,c=38.384621; A=-34.948156; K=0.78736826; h=30; k=0.054817477,298.4820479683211,73.12373389863464,371.6057818669558,3.280022505146386,2.4374577966211546,118.09437581648444,130.6486733490687,2.4374577966211546,2.177328443656965,305.5486848020259
Rac1 perturbation; Cdc42 response,Hill_expr,H((R+R)),1,4,1,5,k=0.054810376; c1=38.384473; A1=-34.947227; K1=1.5746519; h1=30,298.4820481456619,73.12387180522941,371.6059199508913,3.2800225070951856,2.437462393507647,118.09437587055137,130.64867340313563,2.437462393507647,2.1773330405434574,305.5486848560928
Rac1 perturbation; Cdc42 response,Hill_expr,H(H(H(R))),3,4,3,13,k=0.24339456; c1=-2.7459584; A1=29.788161; K1=1.5260099; h1=4.0962388; c2=1.4917505; A2=44.200035; K2=0.88175047; h2=0.97893562; c3=0.38637137; A3=-44.31629; K3=2.2209795; h3=5.9315456,449.44646267152467,131.731603310883,581.1780659824077,4.938972117269502,4.3910534436961,171.34130848713167,203.9824820718507,4.3910534436961,4.13092409073191,358.79561747267314
Rac1 perturbation; Cdc42 response,linear_R,R,0,1,0,3,c=38.737917; A=-1000; k=0.0007227669,479.29970425590807,132.6398660512516,611.9395703071597,5.267029717097891,4.421328868375054,157.19345901798138,164.72603753753194,4.421328868375054,4.161199515410864,344.64776800352286
Rac1 perturbation; Cdc42 response,Hill_expr,H(H(R)),2,3,2,9,k=29.997448; c1=-2.2919129; A1=28.166895; K1=0.82982893; h1=1.0071498; c2=0.23240898; A2=59.962151; K2=2.862976; h2=0.9394547,570.7083228991407,191.52553593790208,762.2338588370428,6.27152003185869,6.3841845312634025,185.07770666743014,207.67544222608177,6.3841845312634025,6.124055178299213,372.5320156529716
Rac1 perturbation; Cdc42 response,Hill_expr,(H(H(R))+R),2,5,2,9,k=29.999716; c1=23.553337; A1=-46.01103; K1=1.5197348; h1=0.9363853; c2=1.1185091; A2=-42.659698; K2=1.2300109; h2=4.0992942,570.7083228972053,191.52555415641854,762.2338770536239,6.271520031837421,6.384185138547284,185.07770666712153,207.67544222577317,6.384185138547284,6.124055785583095,372.53201565266295
Rac1 perturbation; Cdc42 response,Hill_expr,H((H(R)+R)),2,5,2,9,k=2.0919416; c1=3.8258262; A1=20.727511; K1=1.0337882; h1=7.5433012; c2=0.28831498; A2=99.871819; K2=3.1185186; h2=1.2492387,570.708322906686,191.52560394224133,762.2339268489275,6.271520031941605,6.384186798074711,185.07770666863323,207.67544222728486,6.384186798074711,6.124057445110521,372.53201565417464
Rac1 perturbation; Cdc42 response,Hill_expr,H(H((R+R))),2,5,2,9,k=21.838561; c1=-7.4416912; A1=32.388511; K1=0.87815672; h1=1.0205261; c2=0.47451035; A2=64.885338; K2=0.73089146; h2=29.85015,570.7083228968703,191.52560564750914,762.2339285443796,6.27152003183374,6.384186854916972,185.07770666706813,207.6754422257198,6.384186854916972,6.124057501952782,372.5320156526096
Rac1 perturbation; Cdc42 response,Hill_expr,((R+R)+R),0,5,0,1,k=23.295021,1187.1549442319156,406.01412939691494,1593.1690736288303,13.045658727823248,13.533804313230497,235.72944266389578,238.24030217041263,13.533804313230497,13.273674960266307,423.1837516494372
Rac1 perturbation; Cdc42 response,Hill_expr,(R+R),0,3,0,1,k=23.295021,1245.4674957266116,427.06429514773953,1672.531790874351,13.686455996995731,14.235476504924652,240.09301247327986,242.6038719797967,14.235476504924652,13.975347151960461,427.54732145882133
Rac1 perturbation; Cdc42 response,Hill_expr,R,0,1,0,1,k=22.046747,1306.4242075642248,449.0991678837866,1755.5233754480114,14.35630997323324,14.969972262792886,244.44125041012845,246.9521099166453,14.969972262792886,14.709842909828696,431.8955593956699
Rac1 perturbation; RhoA response,Hill_expr,(H(R)+H(R)),1,5,2,9,k=0.096478454; c1=-0.6897445; A1=-61.539022; K1=0.91275114; h1=30; c2=-0.68969009; A2=81.609649; K2=0.11673491; h2=0.63306879,6.539876360949179,2.2119159162757573,8.751792277224938,0.07186677319724372,0.07373053054252525,-221.597653411488,-198.99991785283635,0.07373053054252525,0.0,0.0
Rac1 perturbation; RhoA response,Hill_expr,H((R+R)),1,4,1,5,k=0.054250467; c1=38.435469; A1=-29.870627; K1=1.5645709; h1=30,1437.457833283903,180.97690453714003,1618.4347378210432,15.796239926196737,6.032563484571335,261.1392458444601,273.6935433770443,6.032563484571335,5.95883295402881,482.7368992559481
Rac1 perturbation; RhoA response,simple_hill,H(R),1,2,1,5,c=38.435399; A=-29.870388; K=0.78227339; h=30; k=0.054248451,1437.4578331707082,180.97779053187276,1618.435623702581,15.796239924952838,6.032593017729092,261.13924583729414,273.6935433698784,6.032593017729092,5.958862487186567,482.73689924878215
Rac1 perturbation; RhoA response,Hill_expr,H(R),1,2,1,5,k=0.054247012; c1=38.435351; A1=-29.870216; K1=0.78226475; h1=30,1437.45783321841,180.9784026185678,1618.4362358369776,15.796239925477034,6.032613420618927,261.13924584031395,273.6935433728982,6.032613420618927,5.958882890076402,482.73689925180196
Rac1 perturbation; RhoA response,linear_R,R,0,1,0,3,c=39.115046; A=-1000; k=0.00070673477,2131.45040903729,405.96487306499154,2537.415282102281,23.422531967442744,13.532162435499718,292.9865601930583,300.5191387126089,13.532162435499718,13.458431904957193,514.5842136045463
Rac1 perturbation; RhoA response,Hill_expr,H((H(R)+R)),2,5,2,9,k=2.254715; c1=-1.376292; A1=21.647097; K1=2.396174; h1=11.545713; c2=-0.23271088; A2=64.445409; K2=2.5396231; h2=0.73532085,2580.1480049924626,840.2212290824975,3420.3692340749603,28.353274780136953,28.007374302749916,322.37157077869176,344.9693063373434,28.007374302749916,27.93364377220739,543.9692241901798
Rac1 perturbation; RhoA response,Hill_expr,H(H((R+R))),2,5,2,9,k=5.6114825; c1=-1.3762898; A1=21.647094; K1=2.7577338; h1=9.9525805; c2=-3.7636792; A2=64.116146; K2=1.5986354; h2=5.1649915,2580.148004991598,840.2212291969811,3420.3692341885794,28.353274780127453,28.007374306566035,322.37157077866124,344.9693063373129,28.007374306566035,27.93364377602351,543.9692241901492
Rac1 perturbation; RhoA response,Hill_expr,H(H(R)),2,3,2,9,k=1.3703001; c1=-1.3762905; A1=22.035639; K1=0.85095452; h1=0.98973531; c2=-9.4545684; A2=58.882677; K2=0.00016588; h2=3.3457349,2580.1480049915945,840.2212294106776,3420.369234402272,28.35327478012741,28.00737431368925,322.3715707786611,344.9693063373128,28.00737431368925,27.933643783146724,543.9692241901491
Rac1 perturbation; RhoA response,Hill_expr,(H(H(R))+R),2,5,2,9,k=29.984859; c1=-1.3762903; A1=20.882905; K1=1.6554507; h1=1.8985566; c2=-25.079958; A2=42.540674; K2=0.046178702; h2=2.9503508,2580.1480049959514,840.2212919471453,3420.369296943097,28.35327478017529,28.00737639823818,322.37157077881477,344.96930633746643,28.00737639823818,27.933645867695652,543.9692241903028
Rac1 perturbation; RhoA response,Hill_expr,(H(R)+R),1,4,1,5,k=29.999993; c1=-1.3762888; A1=38.801862; K1=0.8774335; h1=0.98384144,2580.1480050161763,840.2213536145603,3420.369358630736,28.35327478039754,28.007378453818674,314.3715707795281,326.92586831211236,28.007378453818674,27.933647923276148,535.9692241910161
Rac1 perturbation; RhoA response,Hill_expr,H(H(H(R))),3,4,3,13,k=0.3; c1=19.034202; A1=41.66659; K1=0.1; h1=1; c2=-0.45876319; A2=-41.66659; K2=1.2; h2=4; c3=-0.45876319; A3=41.66659; K3=2.5; h3=6,2848.788985660561,849.591078013956,3698.3800636745177,31.305373468797374,28.3197026004652,339.38486808090454,372.0260416656236,28.3197026004652,28.245972069922672,560.9825214923926
Rac1 perturbation; RhoA response,Hill_expr,((R+R)+R),0,5,0,1,k=22.046747,5574.718730755957,1862.7714641966986,7437.490194952655,61.260645392922605,62.092382139889956,376.47752493573154,378.9883844422484,62.092382139889956,62.01865160934743,598.0751783472195
Rac1 perturbation; RhoA response,Hill_expr,(R+R),0,3,0,1,k=22.046747,5931.399304578914,1980.807309734213,7912.206614313125,65.18021213822982,66.02691032447377,382.1211894531242,384.63204895964105,66.02691032447377,65.95317979393126,603.7188428646123
Rac1 perturbation; RhoA response,Hill_expr,R,0,1,0,1,k=20.696676,6308.151035259609,2105.284146203402,8413.435181463012,69.32034104680889,70.17613820678007,387.72519301004735,390.2360525165642,70.17613820678007,70.10240767623755,609.3228464215354
RhoA perturbation; Cdc42 response,Hill_expr,(H(R)+H(R)),1,5,2,9,k=0.09376125; c1=-0.020176576; A1=-44.270995; K1=0.90637152; h1=30; c2=-0.020176573; A2=240.60625; K2=14.167506; h2=0.51500227,8.990213753272576,2.3215406191841286,11.311754372456704,0.09879355772827006,0.07738468730613762,-192.6397822195683,-170.04204666091664,0.07738468730613762,0.0,0.0
RhoA perturbation; Cdc42 response,Hill_expr,H((H(R)+R)),2,5,2,9,k=0.093631177; c1=0.17438581; A1=150.08258; K1=3.6422532; h1=0.5724251; c2=-2.2701263e-07; A2=-0.99407994; K2=0.88139749; h2=29.976723,9.987034477901116,2.461956891996385,12.4489913698975,0.10974763162528699,0.08206522973321283,-183.0710344355202,-160.47329887686857,0.08206522973321283,0.004680542427075204,9.5687477840481
RhoA perturbation; Cdc42 response,simple_hill,H(R),1,2,1,5,c=23.219083; A=-14.19287; K=0.62809033; h=30; k=0.033656042,1889.3396245973347,309.8925269595744,2199.2321515569092,20.761973896674007,10.329750898652481,286.01420533102254,298.5685028636068,10.329750898652481,10.252366211346343,478.65398755059084
RhoA perturbation; Cdc42 response,Hill_expr,H(R),1,2,1,5,k=0.033650824; c1=23.218991; A1=-14.192649; K1=0.62803418; h1=30,1889.3396250906808,309.8945997958287,2199.2342248865098,20.76197390209539,10.32981999319429,286.0142053547845,298.56850288736877,10.32981999319429,10.252435305888152,478.6539875743528
RhoA perturbation; Cdc42 response,Hill_expr,H((R+R)),1,4,1,5,k=0.033649455; c1=23.218962; A1=-14.192593; K1=1.2560392; h1=30,1889.339625434661,309.895229716804,2199.234855151465,20.761973905875397,10.329840990560134,286.0142053713523,298.5685029039366,10.329840990560134,10.252456303253997,478.6539875909206
RhoA perturbation; Cdc42 response,linear_R,R,0,1,0,3,c=-0.046756319; A=17.452935; k=2.5094962,2127.48359327722,681.2043136287227,2808.6879069059423,23.378940585463955,22.706810454290757,292.8170434368199,300.34962195637047,22.706810454290757,22.62942576698462,485.4568256563882
RhoA perturbation; Cdc42 response,Hill_expr,H(H(R)),2,3,2,9,k=0.19604943; c1=-0.51475551; A1=24.542517; K1=0.43681391; h1=0.21375926; c2=5.2748464e-09; A2=46.274821; K2=0.18233525; h2=9.8896853,2126.357471980154,688.0363911115371,2814.3938630916914,23.366565626155538,22.93454637038457,304.7688624921843,327.366598050836,22.93454637038457,22.857161683078434,497.40864471175263
RhoA perturbation; Cdc42 response,Hill_expr,H(H((R+R))),2,5,2,9,k=0.00010002365; c1=-137.75304; A1=155.16401; K1=0.034468006; h1=26.456552; c2=0.38049669; A2=288.59309; K2=0.01197027; h2=2.1238412,2126.343950450632,689.9441765559196,2816.2881270065513,23.36641703791903,22.998139218530653,304.76828382038764,327.3660193790393,22.998139218530653,22.920754531224517,497.40806603995594
RhoA perturbation; Cdc42 response,Hill_expr,(H(H(R))+R),2,5,2,9,k=5.9728864; c1=-0.31847213; A1=89.101994; K1=0.88361085; h1=8.5442477; c2=0.45229463; A2=32.316895; K2=2.0547066; h2=6.5225699,2126.378829301763,698.1502937860328,2824.529123087796,23.366800321997395,23.271676459534426,304.7697764996039,327.36751205825556,23.271676459534426,23.19429177222829,497.4095587191722
