,PC1,PC2,PC3,PC4,PC5,Age
GSM9308707,-1.814776864141083,-2.407849439931496,-0.2142611102774384,-0.8862575176189553,-0.3563885984121426,2.8
GSM9308708,-1.596308263572691,0.4112287717630353,-2.0514010307379347,-2.3539280245158354,0.6438594811156519,8.8
GSM9308709,-1.4921763251457119,-0.2686587904327149,-3.1356052464910595,-1.6377689209544166,0.7800666685174938,13.7
GSM9308710,0.24496188192161175,-0.09498167932882184,-3.244843685587496,-2.518314234772613,0.2258408176185384,15.4
GSM9308711,-0.97140834316231,-0.25473170313627624,-2.936792358904745,-1.4255109972832223,1.220490739552371,14.3
GSM9308712,0.24889881785878037,1.3668940299848822,-2.0460473091286904,-0.7159846689569899,0.8608080893912672,15.2
GSM9308713,-0.04931495233009868,1.8540876361070808,-2.875295285674192,-1.119469732717242,0.7664661365853639,16.7
GSM9308714,-2.487612014861131,2.805827016305972,-1.1501450535252944,3.751708716762092,1.0685003522460257,14.7
GSM9308715,-3.7930268556832836,-2.9773752974299392,3.105838236122475,0.8780333679757951,0.16630670251876817,0.1
GSM9308716,-3.144865189860557,-3.335017672395255,2.1939729393285123,1.7018119726379162,-1.5936148046689116,0.0
GSM9308717,-1.6857905137182927,3.850463426164669,3.064121749130663,1.7571557013313865,1.4846869335315018,0.1
GSM9308718,-0.7103234611313668,1.9522978894460286,-0.8622384339592664,-0.5816124502127172,-0.08340814581910075,9.1
GSM9308719,-1.824327433774269,-1.2176253770390595,2.6706881260062376,3.205765955602302,2.7206584401522194,12.0
GSM9308720,-3.6012887131868188,-3.918207246795621,1.5760518419655707,2.358069446064927,-0.02980210591204429,0.0
GSM9308721,-3.486516083464129,-2.7627050231994454,0.2935914673267158,0.9945668803804413,-1.7463428697098335,0.0
GSM9308722,-1.7791091340880534,-0.4716969518882588,-1.4284683198529746,-0.17777991020439632,-0.5188618448613788,0.6
GSM9308723,0.8159282923602197,-0.49984738825947106,-3.1789823108606017,-0.9668706494439767,0.2551515332299897,15.4
GSM9308724,0.35189717039396,1.6315390310965425,-1.013171026982656,-2.3436500668798117,0.9410502867049674,15.7
GSM9308725,-2.8547292815840555,-4.510730143945098,1.923372113812309,0.8409408237990404,-1.102415793599344,0.0
GSM9308726,-3.012347886580481,-4.128981153958025,3.1162273172718593,-0.45244705806873453,-1.1593766556280802,0.0
GSM9308727,-0.15011227781355138,3.3867460575269153,2.080100068398221,0.4976368634310485,1.6405486272355903,7.3
GSM9308728,-1.7217821423589077,0.057396750203489014,-1.6868386651889247,0.4620460839989552,-0.1883305410712076,9.7
GSM9308729,-0.11833211423306678,2.0909106617767224,1.9961986588569858,0.10638453881071559,1.1483756657789406,6.9
GSM9308730,-0.9277720005709877,-3.4900738663297863,3.2028264745959967,-1.6923566705353272,-0.0579608485899376,0.0
GSM9308731,3.3892643929346504,-1.8070750285797283,-0.4578461778268366,-0.26935215281489006,-0.4988271120183196,7.6
GSM9308732,0.142593015028708,0.6656328517591374,-0.53194873753447,-2.5881480742359666,0.4907011459478127,10.6
GSM9308733,-2.3381176954982488,-3.51462315625844,3.120539972555304,0.4141959222246651,0.5172559592059603,0.0
GSM9308734,-0.12317548987781159,-2.872671642708491,3.6511518435460344,-1.2549971652114016,0.20493513943115302,0.0
GSM9308735,0.14582293406131766,-0.20891796215517944,-2.994246249659793,-0.009729454452473191,0.040523881675355755,10.4
GSM9308736,-0.1932989316929557,-0.009807995237641873,-2.5333654046448304,-2.185222904315368,0.5296053949004405,12.3
GSM9308737,-3.695081281956007,-3.3471133196233573,2.1953975867718443,-0.46592749707395087,0.4742295403690942,0.1
GSM9308738,-1.0857438035321483,-0.9899613105705442,-1.0483315535771986,0.15844624240408078,-0.6035397173861607,3.7
GSM9308739,-1.5171627468244906,-1.0133814115320074,-2.5631619704399746,-1.0028431716411406,-0.8152731138360455,6.7
GSM9308740,0.3533756837201847,1.9891348564557996,0.9832184827129279,-1.8051040989704459,0.7545544747216938,7.4
GSM9308741,0.7296903650442108,0.8246485347560852,-2.3712816365808926,-2.1398255693660544,0.7646474861356133,13.4
GSM9308742,-2.1624798630233113,6.749810345523118,-3.349400492107945,6.467600668806108,-3.6235498500131906,14.5
GSM9308743,-3.2572408919483697,-0.18983325804107015,-2.5014727482052743,-0.03594868571335063,-0.5012915863912737,9.4
GSM9308744,-3.7393603935487,4.591811165622767,-0.48197594513425823,5.042171627583691,-2.3920010811258985,5.1
GSM9308745,-3.67917392417648,-0.7530399889680236,-2.842672568676482,1.7821614137970474,-0.6391364720118394,7.0
GSM9308746,-3.1960382108207233,4.595762244300753,2.96573457301177,0.5034156378604495,8.974893219754373,14.3
GSM9308747,1.010400416352448,6.1935081979553805,3.9249465863226054,-1.4629190340826304,-1.3063787676379184,12.2
GSM9308748,2.890153136769731,0.9816759775190272,0.45161227484297234,0.8657438864167147,1.2805183021064719,12.2
GSM9308749,0.24910203954444748,2.608575407677362,-0.1713366666437532,-2.6639526750201323,1.7273091360613086,14.8
GSM9308750,0.6655007098643614,-1.3228853109557441,-2.5046407619023547,-1.7699843718834387,-0.5598315056642813,9.0
GSM9308751,2.0120569541515314,5.033525095193296,3.7003929034930065,-2.956959157424231,-2.62283059298893,9.0
GSM9308752,0.8441285267119601,4.901080818962794,4.130512143280695,-2.6280776473705445,-4.296485925751679,4.0
GSM9308753,-1.828978628797908,-1.9783989313193464,-1.5439581950985457,-1.8704411510991774,-1.77950136558821,4.0
GSM9308754,2.9171762972775857,2.831866314613355,3.620339233707306,-1.9091796534985874,-3.8953519899238445,3.0
GSM9308755,1.0206494876856347,-1.4352291407047189,0.15354651789147286,-0.2430456604837155,-1.0853016978456014,3.0
GSM9308756,7.018047097947768,-1.2928869301938646,-0.24739324197764223,1.924148378054521,1.2206578799620498,13.0
GSM9308757,7.064876639970133,-1.2583806508654558,-0.5773995810957082,2.4235319592404734,0.12717153737704137,8.0
GSM9308758,6.83513493089544,-2.3549739649917285,0.9593805193698812,0.5006184267267384,0.7380171616987804,10.0
GSM9308759,7.1544136028234435,-1.4601034647207016,-0.08507442930317378,2.413090942692194,1.4018952613072653,14.0
GSM9308760,7.2322809433801565,-1.5811367988350613,-0.4223427588855443,2.572757291773447,-0.43968623561227355,10.0
GSM9308761,-3.6807810662290312,-0.579283368115503,-2.1145728074222943,0.31847352926414807,-0.649262448988815,7.0
GSM9308762,7.527993025393567,-0.9326927539842954,-0.09418630789705967,1.2779727827218832,0.018225587310896102,10.0
GSM9308763,6.854206417095201,-2.133544958284037,0.18093644146394644,0.9151599664609688,-0.6431999110877453,9.0
