Figure 2d,RhoA perturbation; Cdc42 response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RhoA perturbation; Rac1 response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rac1 perturbation; RhoA response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rac1 perturbation; Cdc42 response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time [min], Perturbation signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control sensor corrected response signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time [min], Perturbation signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control sensor corrected response signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time [min], Perturbation signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control sensor corrected response signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time [min], Perturbation signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control sensor corrected response signal [%change],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,cell 41,cell 42,cell 43,cell 44,cell 45,cell 46,cell 47,cell 48,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,cell 41,cell 42,cell 43,cell 44,cell 45,cell 46,cell 47,cell 48,,,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,,,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,cell 41,cell 42,cell 43,cell 44,cell 45,cell 46,cell 47,cell 48,cell 49,cell 50,cell 51,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,cell 29,cell 30,cell 31,cell 32,cell 33,cell 34,cell 35,cell 36,cell 37,cell 38,cell 39,cell 40,cell 41,cell 42,cell 43,cell 44,cell 45,cell 46,cell 47,cell 48,cell 49,cell 50,cell 51,,,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28,,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24,cell 25,cell 26,cell 27,cell 28
,-5,-0.9299278,-2.5386511,-0.1540392,-0.7886049,0.93661356,-2.4728775,-1.9122868,-2.0944055,-5.082822,5.43566452,-1.7376761,3.85445085,0.88508282,1.65011795,-2.4267635,5.53419702,9.16442912,3.18850329,3.22869958,-1.5223611,1.68573,2.40012658,-4.6752713,2.29556043,0.94553744,-1.2491647,-1.6714733,-5.0854191,-4.8459877,-3.4110232,-2.2583223,-1.051005,-0.1276382,-3.2410259,-2.1039615,0.64735803,-1.5320613,-6.8691032,-4.6218501,-2.293942,-0.7346446,-1.0124266,1.58227309,3.00803447,0.68441631,-0.7731145,-0.2864828,-2.4047715,,-2.2748451,1.10060733,1.87715747,1.59005469,9.00448461,2.56376564,-6.3899773,-4.0204543,-7.3259563,4.5350009,-2.2014093,1.31940866,7.06987123,3.40548027,3.28573355,-0.1794278,2.57553797,4.4282969,-2.4384997,-2.5748431,0.56138055,-11.799313,-7.2982922,6.76044635,0.94893587,1.34437447,-15.351465,-10.437765,-10.444713,-3.9318104,-0.6539737,1.05243545,-5.2291307,-2.1127676,-5.3411266,2.15550896,-3.2588078,-5.2907833,10.6351245,-4.747414,-10.838742,0.2630249,-0.1565141,4.23021024,1.21143931,16.8735504,6.5857512,-11.67437,,,-5,-0.0086139,0.62550728,-12.61602,-4.6780845,-3.3472989,0.07497139,2.43406755,0.72848224,-3.1915392,-3.1565953,-15.434763,0.42829168,-0.4357781,-10.728942,-0.0088325,-0.6418416,0.7741989,-0.7182894,-2.7210766,2.36172677,0.21667861,-1.1316313,-0.7106105,0.75859119,-13.583336,-3.6382822,10.8524692,10.1148878,2.4075014,5.04555129,-3.8649977,-2.9851268,-6.9833167,6.05222683,2.85442379,3.56813757,-2.4280319,2.15683624,1.91686055,2.11905113,,0.00131451,0.51592882,-13.028676,-0.1565228,-4.9882515,-5.0401955,10.1447543,2.71680438,-4.9546653,-1.7134018,-18.374172,-6.6068862,-1.4442136,7.81418654,-8.4222822,-0.1591172,1.677751,-1.069935,-3.1299656,9.09157353,-1.3436295,-0.6590783,2.27048184,-0.7382327,-9.5736142,2.37286954,15.7528436,12.0224623,0.57138009,-0.6469158,-8.6407042,-8.6275947,-5.0060479,5.52333418,0.58205174,8.3276978,-1.637883,-2.9036591,4.56350423,1.49122761,,,-5,-2.9337334,-1.707722,-0.4186766,-1.0299878,0.13594488,-0.9601078,1.43930701,-2.1770475,-0.5130316,-1.0196152,2.41941541,0.49707966,-2.4428188,1.55283267,-0.4706486,1.94188702,2.28445747,-5.0446193,-5.0542067,0.02871636,-2.7449693,-7.485597,5.99545078,8.55460149,3.34573499,0.33144201,1.59867242,-0.3382419,-2.013785,1.69662679,-1.0452376,-2.3531753,-7.1345446,-3.2423589,4.15298007,0.37251813,1.11191217,-0.6202001,0.28019479,-3.6125456,-2.2643896,-0.2982436,1.99219163,3.17413301,-8.8591682,2.75770712,4.00796629,-1.1125685,3.35189253,0.96198532,-2.9354503,,-2.1377586,1.11442847,-3.9573245,0.34706687,-1.9907548,0.56250149,-1.756931,-2.2580391,-1.3279821,-2.1778557,6.21844426,1.27740114,-5.4880083,-0.1974321,1.83090385,-1.6385305,3.2061438,-1.5218982,-0.724833,0.74930148,-2.8869796,-4.9571997,10.669527,10.9902587,-1.6812968,-0.2252255,-6.6476656,-1.2118133,-0.4333876,1.46188117,0.16255007,-2.5972604,-2.2206874,-3.115477,7.23964739,0.45997818,3.95588113,5.59339421,5.89427319,-0.6485079,-1.8381988,2.5279805,2.93605241,10.3725592,-6.6649858,12.6100307,6.80439942,-4.2699934,44.1098425,6.35073643,-7.3867918,,,-5,-2.6498581,-3.5359608,-0.8320545,-1.2440571,-2.6381199,0.01241545,-1.9805589,-3.4361131,-2.1925972,24.0993288,0.99256066,8.52436592,-5.2681416,-11.271258,-0.1994822,-3.8514027,-1.1673903,-1.6221076,0.30154951,-0.7890475,-4.4314183,4.4859132,0.81225291,39.9664037,7.64126866,-5.7036147,7.54687885,0.71020607,,4.9797585,0.89413462,2.73374434,0.28355006,-1.4968665,-1.4907015,0.9413896,-2.190629,-0.0808758,35.4521672,1.99944914,9.24282931,-1.1775972,4.53137829,4.29987381,-6.2295997,-3.1051635,0.87150877,0.80156175,-7.8893912,1.41547583,6.22975541,0.74515604,36.8001496,6.1032669,2.07479078,2.38660347,4.70534146
,-4.666667,0.58142726,0.03829655,4.14118554,-0.4651135,2.04125491,-4.2188461,-1.8791869,-0.1622116,3.18560319,4.94586255,3.96119487,5.85106977,-1.6140632,1.52387696,-1.1773505,-3.1484302,2.8290473,10.6061987,0.22865859,-3.262123,2.08534729,2.389678,-0.052464,2.29832971,-1.8414636,-1.9414073,1.69044644,-0.5331711,-1.4153676,-1.7962558,1.7266011,0.97386064,1.3834543,0.68782474,-1.2839376,3.10560038,1.64926015,-6.3098549,0.86072501,-1.3718453,1.10338596,1.08358831,0.22194811,2.00531841,-0.2250409,-1.5135591,-3.0469699,-6.3485286,,-1.5240893,0.83005374,4.38328066,2.3547186,12.4099477,-3.1068304,-5.0809757,-4.1497897,8.43734938,4.08116339,6.10923221,5.83391886,7.11222402,1.88371874,-3.0252913,4.82479989,0.93188883,1.28569835,0.36118785,-12.354014,3.14570523,-15.947335,-1.5300374,8.28546635,3.31949442,0.10601568,-2.3515,-5.3400446,-5.9284966,3.71874204,0.06164276,3.56051177,-2.2159868,1.79766884,-3.7456724,5.96102059,0.64542677,-10.515466,0.80410994,-3.4690356,-6.492316,3.48182194,0.23820651,-2.1788751,1.96904339,11.2216908,7.64738698,-3.7685292,,,-4.666667,-0.4593222,-0.8485955,-9.4235447,-4.7259476,-4.0639921,0.24938624,-2.6626185,-0.474018,0.23995508,3.65948541,30.0456015,0.60164964,0.03356331,-5.2509755,-0.4845402,0.7107582,0.90314442,0.13208809,-2.6591987,0.51321588,-2.0587308,-5.3341982,-1.5542795,-2.166425,-11.644768,-6.5377417,3.24812065,-10.16161,2.79792669,4.6758488,-2.783118,-9.146992,-2.8911484,2.5357985,2.32520752,1.82519666,-0.56073,1.43997764,0.61420649,2.39022019,,2.82389625,1.28504546,-8.1996395,-0.5461927,-7.9010569,-4.6106975,7.24194915,3.42157075,-0.4731562,7.68202725,26.2029462,-4.7472821,1.71184599,7.8845134,-5.4297141,2.94449478,-0.0285195,0.80976426,-3.9153361,8.6387988,0.13100092,-8.8896642,-1.905039,1.88350951,-6.5822913,-2.497322,3.94858332,-16.004738,-1.5703943,-2.3104283,-8.6780754,-12.714075,-3.358912,1.95165152,2.17180144,5.79126535,-4.0055595,-1.5470939,-1.3092038,1.86451533,,,-4.666667,-1.3386693,-1.7844837,0.62097792,0.86912451,1.77341235,2.99249096,1.75469147,-1.2474643,-2.0462681,2.04484446,-1.2749273,0.5961197,1.49809225,2.57397618,0.18049811,0.80286958,2.9230232,-3.1380889,-0.8785613,1.3188527,-0.1531495,-7.0721104,10.1677965,2.42930767,3.42650308,0.9574832,1.48400378,2.09613368,-1.9960738,1.90412141,-0.4831853,-1.8829187,-7.339423,-0.3222387,3.46992341,0.30463162,2.32528515,-4.0145778,-0.7484688,-4.7582054,-4.0734964,-3.3654908,0.61569756,2.51725341,-7.1713265,1.1883062,-3.6446825,5.37506281,1.83306824,1.7469027,31.1283142,,-2.0985486,1.15555443,-0.3103588,0.8952608,-2.6171512,-1.7961863,-1.3339342,-0.4210585,2.94366782,8.12765526,-3.6608997,6.00432638,3.39813548,6.27413927,0.44887725,4.18066018,-0.45569,-4.8642677,-0.8648221,-2.8794024,-4.3143422,9.1262735,17.519461,20.8332602,17.6049986,17.1781211,3.50583455,4.6924673,-0.5271875,3.26003589,2.71593856,0.30687071,-7.4090036,-2.0232371,6.87391323,1.01766489,-2.4109237,0.38447392,-3.0212847,-2.8826668,2.46274794,-1.2832291,-3.5143129,2.7864553,-3.2481024,4.11339178,2.64384631,8.92353969,32.2276902,6.38464174,22.6833377,,,-4.666667,-2.0781566,-1.6540497,0.88031951,0.96896304,-0.6257849,1.09698565,0.47015517,-2.5410802,5.34243386,-6.5021386,-6.5424289,8.09983951,-8.9780073,-21.198786,-4.3294077,-2.1193355,-1.458902,-0.2213354,-0.7731602,-0.9519715,-0.8153309,3.29109077,2.52211821,-15.392306,29.7067439,0.66181081,4.3940472,0.32961437,,2.75026734,2.27187008,2.4638612,1.11409428,-1.6525189,-2.0408846,3.38958376,-1.0495199,4.59584418,-1.6989868,-5.8475565,9.65951757,-3.6044835,7.75838768,-2.233624,-3.6578087,-2.7748292,1.0386221,0.37365789,-7.3639583,-4.3402385,0.65439684,7.15776844,-20.224257,32.8395779,3.47269299,-1.4623025,-1.742436
,-4.333334,0.45006112,0.84005953,-1.1385331,0.15485211,0.88821937,-7.3074483,1.00687554,-1.7064383,-2.2250688,2.87718005,6.00268729,3.92652292,-0.8183932,0.95888756,-4.0698756,2.28276135,7.67895145,-1.2788543,0.82742543,-0.9482799,0.6571097,3.14354617,-1.1586435,-1.9323452,-1.6855629,0.46946086,1.9630669,-0.8593689,-1.9383281,-1.2066927,-0.9700801,0.33921226,2.96468693,-1.81884,-2.1905814,-1.7503379,-0.1373143,-8.5994249,-3.7190177,-3.2376257,0.79335967,3.54339941,-2.1208313,4.88104949,-1.2665937,-3.2175169,-3.2492092,-6.2778743,,0.99452168,2.59689818,6.41192368,2.65681781,17.3441053,-3.9778508,0.8697259,-3.0264206,-2.7968031,12.9138306,7.50661661,5.37838409,3.21250279,0.89365728,-1.8641399,2.3489062,4.11035697,-1.8999708,3.1392748,-10.164752,1.78301458,-3.2214758,-0.9482867,1.77146614,3.19697135,0.18891263,-3.9093104,1.10267816,-1.2839764,-0.4248102,3.2803581,4.51343303,-1.3279558,-2.8431029,-4.7040643,-1.9824298,-1.1075362,-5.8780877,-1.6301754,-2.6555583,-12.587315,0.94634462,-4.5105177,2.4108218,0.12128614,5.88325593,5.85610754,4.53156275,,,-4.333334,-2.7553426,-2.3776531,4.87662391,-1.1240854,-0.8133637,0.30217655,0.66154845,-2.2863702,-1.3324914,1.7399404,-12.221397,1.83566216,1.68912778,-0.3065619,-0.3772768,1.69244736,3.03221617,0.77443232,6.17836737,3.86926613,-2.1393365,-3.583723,-0.4916971,-1.4008949,-9.074447,-6.1919286,2.80838509,11.8364027,2.37125848,1.34325612,-0.5483115,-3.9624776,-1.4456652,8.46534078,4.06356818,0.4036529,-2.1398221,1.98305979,0.38460067,2.4867597,,2.80993115,-0.0394307,5.9791081,-0.8980693,0.16941071,-7.2932005,21.296421,-2.9842385,-0.5004035,3.78078636,-10.719879,0.49638757,0.89285648,11.0166923,-5.3645266,0.8785444,4.86540735,3.53440282,5.16426941,5.1817513,-2.7999176,-7.4793039,13.0533677,5.41389791,-0.7231305,1.1407353,10.2471796,9.2346218,0.14718837,-3.369961,-0.8851559,-4.5426342,1.01931843,4.63601395,0.18874472,6.82372447,-5.020344,0.42663175,-1.0138651,0.92600879,,,-4.333334,-1.1031273,-0.196512,2.52805747,1.3816765,2.84474577,0.85647302,0.53278906,0.6348599,-3.4127633,0.89986426,3.0202721,-0.1994156,1.54174741,0.72074074,-0.9163102,-2.2064881,1.49290096,-3.2727362,-2.06932,1.08263046,-0.8128115,-5.9937698,-5.2868955,-2.4962591,1.73823263,-2.9580382,1.73535171,-0.9511689,-3.5341075,1.6155379,0.34596918,-0.307032,-7.5206374,0.35661642,3.9253845,1.12987961,5.24464058,-1.4304352,-1.9660934,-7.3139999,-3.5072264,-1.6609064,0.86740821,2.14346111,-3.7855707,-6.4911992,-0.4716032,7.84319794,0.68217928,-0.093861,9.49024961,,-2.5112355,1.21695369,5.98161494,-0.7800347,0.38830312,1.28908507,-6.880632,1.87819519,-4.2792744,4.4269888,0.63391343,-1.3945049,7.82507157,-11.401888,-0.7814811,-11.521265,-0.5314572,2.46206874,0.26554349,1.54722128,-2.2111494,-2.7467215,-3.4620722,7.39822677,-2.1612104,-3.720528,-6.0186027,4.89819223,-0.690996,-0.3994425,0.87244944,-3.8675387,-9.2528857,-2.8015383,6.93067239,5.02293007,6.28101729,1.18128773,7.7809073,-4.1245507,3.27451612,-0.9848461,0.61968963,1.37768461,-1.4773438,-2.1350058,1.69932829,20.0691298,21.9896017,0.23330234,2.27430155,,,-4.333334,-1.0459603,-3.4810867,0.39443332,4.48552946,-1.0071555,0.03578458,-1.5393632,-3.5025089,-2.7807627,-15.818491,-7.2961199,-5.5773091,-10.551798,-9.5238706,-6.1394406,-6.1852925,-2.4426288,2.88651117,-0.0537118,-1.5261808,0.92627986,5.72810579,-1.8258621,-68.23449,6.28262853,-10.153627,5.12294611,-2.1221911,,5.10766796,1.92181717,2.93609383,2.17268644,-2.278235,2.24041994,1.77916554,-1.8069857,-1.1297632,-10.811055,-7.0125419,-4.6349857,-7.9017341,-3.0290633,-3.2257371,-6.8370529,-1.6558962,1.69389615,0.72200633,-9.4307354,-2.852152,13.0738672,-3.358188,-68.58954,13.4851218,-5.3309998,2.67310647,0.97303548
,-4,-1.1817246,0.4932391,2.49298953,1.92567022,1.74127175,-5.6714296,0.83242202,-2.3799557,7.069576,3.35923304,1.71229194,4.23238005,-2.0598116,0.78257579,-2.0281883,3.61700831,0.20145603,3.02664607,-0.6338056,-0.3871115,5.15947595,3.40852312,-0.1849075,1.95548608,1.18223407,-3.2394809,-1.5067216,-0.1896584,1.33267748,0.89677424,-0.173096,1.22229064,-0.7365933,-0.1248704,2.97117846,-1.1418306,-0.0595275,-3.9536828,-0.6339947,-0.1084342,-0.9162191,3.33101972,-1.4660197,4.2008196,-0.7169367,-1.9298202,-3.2083673,-8.7710333,,-1.6562113,-0.3870965,4.05352626,-0.0673243,3.6824408,1.2790529,-1.9012782,-0.6228823,0.18641812,3.7280347,1.07865273,3.96428812,1.92203157,-1.2614308,-0.8720758,-1.1221619,-1.6480798,2.37973337,5.97678421,-0.1687523,6.8311203,-7.9993018,-4.5393196,-3.1065087,-0.2176794,-5.2010881,-5.289094,3.00210659,-2.815344,-1.0174493,1.03940899,1.72894983,-1.5476949,0.39450832,6.57646762,0.73632225,-0.6563232,-11.267524,2.49390809,-0.6545962,-16.060166,3.8249898,-4.2439848,1.04705388,-0.2239909,3.80123177,8.57719514,-7.8851051,,,-4,-2.4104964,-0.1974339,4.99082048,-2.6945101,-4.3174263,0.19774793,-1.1603807,-2.2540389,0.79954116,6.15628603,20.8998341,-1.5617077,-1.7890276,-0.9393531,-3.7835669,0.84190748,-3.6918651,-1.064719,-8.7738137,-0.8106805,-1.7932903,-1.7949804,2.18480049,4.39571274,-3.0031649,0.74450025,9.28172783,10.0918085,-0.7321539,-0.2380688,3.66319316,-3.0629729,-3.8900659,4.39776001,3.62058393,-0.9575311,-2.0824458,2.7191094,0.27390091,1.63869368,,1.9238598,0.12613556,8.37345821,1.42924005,-3.1225675,-5.1259102,23.5941234,1.35907865,0.73473839,10.0215992,23.8625522,-4.5353278,-2.2006747,3.33835619,-0.9361641,1.64797484,1.44385904,-1.1379674,-8.5814771,3.40478216,-2.237422,-4.9938187,2.98869882,2.04008474,-0.4651397,2.98352914,5.76059005,9.40655612,-1.4595525,-4.0610745,-3.2803115,7.01710644,-4.2555183,5.26830993,-0.5038999,2.32416178,-4.2949312,-0.6001525,1.00254601,0.9085753,,,-4,-0.7182329,0.46105204,4.58297197,3.18380502,5.80149083,0.04603237,2.47702363,-0.6256636,-1.3493534,0.75125644,-6.5868406,-0.8379485,-1.3799633,1.20460006,-1.6571639,-6.8771106,-2.0122546,-3.4658501,-0.6109625,-0.7634965,0.66110309,-5.2315707,7.55060591,-7.7463068,1.5960313,-0.6120699,2.18243203,-1.4152072,-1.5047796,2.0796897,-1.9394803,-2.5581079,-8.2968219,-2.0582901,4.1332752,1.31320071,2.68733168,0.63707795,-2.1137317,-2.6197709,1.96870887,-3.4135827,0.01977946,1.64279306,-6.889598,-1.2552953,0.12285299,3.21198613,5.92043585,-2.9790357,-69.722275,,-3.8214096,1.26264712,13.3846691,-0.7932206,-1.2100629,1.14696738,7.53105593,0.34673519,0.40539888,3.2238101,-7.0677582,-2.2138645,0.10511449,-9.112849,-2.7941988,-10.205826,-0.6526852,-1.4628059,-0.9803314,-3.8405104,-0.9676987,1.58128273,7.69741248,3.14679367,4.00988552,2.96971317,1.24000759,-0.2764311,0.87776945,-1.6928365,-2.1622327,1.80324396,-3.5709959,-2.8302086,10.8223592,-0.7576529,11.6952106,2.39567872,3.86905513,-1.1374797,1.09640525,-4.6310857,2.18886534,3.48194198,-4.5213195,8.65219355,1.97238722,17.3388219,14.2798632,-5.5711173,-74.744535,,,-4,-1.5347749,-2.8926739,1.34842902,3.86222138,-0.6635437,-1.780553,1.77710495,-2.0874654,-2.1316955,-0.5203558,1.03027382,4.75454017,-6.282055,-4.6884729,0.68426565,0.37548413,3.58305474,4.09728692,1.32733878,0.3253702,3.18004762,12.0300197,-1.4381298,17.5226547,14.2154178,0.77259992,7.22697174,-0.0160712,,4.31149488,0.8747421,2.58005018,-0.0358203,-2.2330173,-5.8060891,3.07857263,-1.4249013,-1.8833067,4.06602788,2.79864799,7.2895803,-2.9545861,3.15720011,2.61829378,-0.5428025,4.81979935,0.71088202,1.03957822,-1.2851443,0.66843421,9.76459893,-6.0955524,10.5628673,12.6301745,1.90649435,2.31424999,-0.6016005
,-3.666667,-0.3939547,-1.898272,1.9532021,0.47621365,0.63417187,-4.4412482,3.18306496,-1.3816332,1.28757617,1.91633678,2.71834868,2.65086415,-3.1304168,-2.9791122,-5.7682392,-1.2014404,-4.1148583,6.15918484,2.7489513,0.33938462,2.14353814,2.52732058,-1.3082243,-0.1190154,-0.5757639,-1.996205,5.41498845,-3.3771872,0.42780243,-2.0711709,1.78665545,1.53172502,0.33342244,-0.1843096,-0.146935,0.79750363,3.70285973,-2.4749949,-0.4889712,0.94352487,1.86517591,-1.1775032,-0.8597255,-0.5925918,2.21953284,-2.4583814,-4.1337233,-0.8146612,,-1.1768222,-1.9328826,4.6302157,3.50754048,1.62817057,2.54349232,5.87433053,-1.0775541,-3.0473593,4.15130156,-1.3043701,3.28337924,0.4483047,-5.4728666,-5.9762646,-1.6264347,-0.8589813,10.7688969,-1.4765499,-10.378396,2.79256297,-16.71258,1.53478493,-6.1256829,-1.502959,-1.9580058,-11.179796,-0.5621501,1.6474911,2.4022058,0.97626263,3.59349094,2.87059458,5.90107413,-3.7058871,4.38655169,4.25107653,-5.4045408,-3.2754821,-0.8633323,0.36844229,3.87458204,-1.7103421,-2.0149756,2.73581648,6.09888255,0.43206232,-0.3480031,,,-3.666667,-0.7842828,2.13584531,-0.7368674,-2.9865848,-3.3536026,-1.0762635,-5.948071,-5.5417655,0.69085262,3.46419879,15.5981018,-2.6149856,-2.3256963,-1.3442777,-4.1194706,-0.3419901,-5.3881339,-1.6220874,-13.206183,-9.1069071,-0.3232245,-3.9771813,-0.8624471,4.19574346,-6.9587665,-7.8950286,12.9714433,-5.7242559,1.21275925,2.18279519,1.5368752,1.65749176,-3.0103814,4.44624484,3.89888848,-0.8576105,-1.4192254,2.04548134,3.31544543,1.4505872,,1.89263533,-0.1503932,0.28000152,-0.5324663,-5.7388205,-5.6321832,5.63868825,-1.5127514,1.48790043,9.63405624,20.7186494,-2.9043929,-3.6302711,6.25656885,-7.6840743,-1.2214574,-3.4973312,-2.5931789,-15.42128,-12.500262,-2.8663569,-3.024859,5.94215958,7.89683033,-2.9801222,-2.6494656,8.99044376,-8.0915286,0.57264401,-2.8578591,4.33964514,8.91266575,2.51552107,2.25543498,2.42718101,-2.4503834,-4.2621893,0.35259357,2.04153233,-0.3497412,,,-3.666667,-1.2475082,-0.5061917,0.12738701,3.05034419,2.46402946,-2.9407931,0.63002792,1.81761734,0.91097907,3.0224195,-4.5700739,0.92770828,-1.0162825,-0.4787471,-0.5629352,-4.4476003,-1.9342074,-0.8161886,1.57384483,-0.6809514,-0.0690013,-5.1617988,11.9172858,2.70499946,3.91958336,2.15958569,2.58627949,-0.8892472,-0.2649861,2.1063116,-1.5446966,-1.7793386,-6.2126321,-1.1594571,3.32542248,0.29858986,1.39518294,0.81774203,-2.5134824,-2.3286148,-2.9727782,-1.8975644,-1.0877009,6.46960874,-0.833818,-1.2957071,2.34647179,4.84402035,-5.6112457,-0.6428029,-40.999555,,-2.261675,0.29691058,17.4420277,-1.7161696,-8.4907448,-7.4000004,-10.06149,1.49603291,-2.2002118,1.61893856,-6.4459116,-2.1133334,4.09395214,-14.356075,-1.3926251,-5.0523584,-1.1229434,5.5943657,-0.7880477,1.67778208,0.13050351,1.41601738,12.8547846,-3.3445648,-1.3007898,5.33175031,-5.5443187,-1.4423991,-1.7689793,0.23527359,-3.9978938,0.23179972,-1.0751151,-2.2347877,10.038995,-0.2876949,-2.7076945,0.20314287,0.70619662,4.46797711,-2.6044366,-0.3254002,-5.5787169,3.62605833,1.58830115,6.19495708,1.13958262,10.7646674,14.976535,-0.9656184,-44.077706,,,-3.666667,0.11271724,-2.1163313,-0.604156,3.11275759,-1.1961098,-0.785773,-2.1886555,-2.033184,-4.8036779,-15.801299,-4.6153922,4.22736146,-5.3578805,-15.728325,-4.0596017,-1.0227667,0.94881834,1.64094443,-0.6149907,1.77521415,1.8079643,9.63264296,-0.8412701,15.3541891,-5.0402041,0.92222757,2.63139755,-0.3810885,,3.58970053,0.22101365,0.49189771,2.62210279,0.07343612,0.06454187,-0.7330473,0.72876945,-1.2227301,-10.125712,-4.2842994,6.15648356,0.68178118,9.85972352,-0.7544094,3.96538912,-1.5497334,0.40588963,-0.1576174,-0.1477754,4.78109617,8.58113476,-4.176371,15.922082,-4.3839595,8.64006322,2.36141455,1.03262011
