block,model,expr,depth,nodes,gates,n_parameters,N_T,parameters,train_chi2,valid_chi2,all_chi2,train_wmse,valid_wmse,AIC_train,BIC_train,search_score,DeltaScore_from_best,DeltaAIC_from_best,DeltaBIC_from_best
Rac1 perturbation; Cdc42 response,EML_expr,G((G(R)+R)),2,5,2,9,91,y0=3.8211929; B=164.97543; k=0.20481063; a1=0.10974224; b1=0.037787539; c1=0.020682499; a2=71.190817; b2=4.5011552e-06; c2=0.041997647,6.9418462588496865,3.854439115770634,10.796285374620322,0.07628402482252403,0.12848130385902115,-216.169547961778,-193.57181240312633,0.12848130385902115,0.0,0.0,0.0
Rac1 perturbation; Cdc42 response,EML_expr,G(G(G(R))),3,4,3,12,91,y0=3.9906711; B=-740.25675; k=0.30012989; a1=1.0004696; b1=1.0028783; c1=2.9887743e-06; a2=11.198719; b2=66.913615; c2=0.16658642; a3=629.96846; b3=1.5680909; c3=0.00072048053,12.679068607166869,4.1704331532805625,16.84950176044743,0.13933042425458098,0.1390144384426854,-155.35253826481713,-125.22222418661494,0.1390144384426854,0.010533134583664255,60.81700969696087,68.34958821651139
Rac1 perturbation; Cdc42 response,EML_expr,(G(G(R))+R),2,5,2,9,91,y0=4.2665393; B=-54.272469; k=0.18923477; a1=141.00395; b1=2.0340155; c1=0.0041737686; a2=0.63614379; b2=0.0034705991; c2=4.1556913e-10,13.022672650142173,5.186250440398401,18.20892309054057,0.1431062928587052,0.17287501467994668,-158.9192532501584,-136.32151769150676,0.17287501467994668,0.044393710820925525,57.2502947116196,57.250294711619574
Rac1 perturbation; Cdc42 response,EML_expr,G(G(R)),2,3,2,9,91,y0=3.8768265; B=-5.9422513; k=0.23832774; a1=832.25909; b1=10.250397; c1=0.1029129; a2=0.45752452; b2=0.10021414; c2=5.5590835e-13,10.665767980102927,5.635395621199641,16.30116360130257,0.11720624153959261,0.1878465207066547,-177.0876334497974,-154.48989789114574,0.1878465207066547,0.059365216847633545,39.081914511980585,39.081914511980585
Rac1 perturbation; Cdc42 response,EML_expr,G(G((R+R))),2,5,2,9,91,y0=5.1070444; B=-13.294723; k=0.15728663; a1=98.489125; b1=4.3392432; c1=1.8295839e-05; a2=0.58997613; b2=0.24438994; c2=9.9519766e-10,17.023991757956388,6.277063958152757,23.301055716109147,0.18707683250501525,0.20923546527175857,-134.5374648525303,-111.93972929387864,0.20923546527175857,0.08075416141273742,81.6320831092477,81.63208310924769
Rac1 perturbation; Cdc42 response,EML_expr,G(R),1,2,1,6,91,y0=8.4540118; B=-55.964842; k=0.2941757; a1=1000; b1=0.93840819; c1=1.3768386e-10,26.664842225509553,7.089914340952509,33.75475656646207,0.2930202442363687,0.2363304780317503,-99.70373572494395,-84.63857868584286,0.2363304780317503,0.10784917417272916,116.46581223683404,108.93323371728347
Rac1 perturbation; Cdc42 response,EML_expr,(G(R)+R),1,4,1,6,91,y0=8.4540118; B=-55.964847; k=0.2941757; a1=1000; b1=1.9384081; c1=4.9054928e-11,26.66484222537509,7.089914348134869,33.75475657350995,0.2930202442348911,0.2363304782711623,-99.70373572540284,-84.63857868630174,0.2363304782711623,0.10784917441214115,116.46581223637516,108.93323371682459
Rac1 perturbation; Cdc42 response,double_hill,(H(R)+H(R)),1,3,0,8,91,y0=3.8351353; k=0.091571753; B1=349.39139; K1=100; h1=0.33860843; B2=-66.549608; K2=0.90388217; h2=30,9.517366388834342,7.8048977208664665,17.322264109700807,0.10458644383334441,0.26016325736221557,-189.45446155905194,-169.36758550691712,0.26016325736221557,0.13168195350319442,26.715086402726058,24.204226896209207
Rac1 perturbation; Cdc42 response,EML_expr,(G(R)+G(R)),1,5,2,9,91,y0=4.5256; B=505.73746; k=0.026372471; a1=0.53707729; b1=0.90496294; c1=0.35471147; a2=0.71922026; b2=0.9035179; c2=4.5401253e-40,45.59086275909589,15.436284503436033,61.027147262531926,0.5009984918581966,0.5145428167812011,-44.89484912300443,-22.297113564352777,0.5145428167812011,0.38606151292217994,171.27469883877356,171.27469883877356
Rac1 perturbation; Cdc42 response,EML_expr,G((R+R)),1,4,1,6,91,y0=4.5913558; B=655.71371; k=0.024665671; a1=0.8218147; b1=0.96875146; c1=6.1765171e-18,46.38324602240964,15.651548546789021,62.03479456919865,0.5097060002462598,0.5217182848929673,-49.32682825286422,-34.26167121376312,0.5217182848929673,0.3932369810339462,166.84271970891376,159.3101411893632
